,,,2.17E-04,5.253573929,,,,,2.17E-04,4.98E+00
,,,2.18E-04,5.298222983,,,,,2.18E-04,4.99E+00
,,,2.19E-04,5.28788215,,,,,2.19E-04,4.98E+00
,,,2.20E-04,5.211765055,,,,,2.20E-04,5.10E+00
,,,2.21E-04,5.390830416,,,,,2.21E-04,4.96E+00
,,,2.22E-04,5.577988633,,,,,2.22E-04,5.16E+00
,,,2.23E-04,5.437501317,,,,,2.23E-04,4.95E+00
,,,2.24E-04,5.427365886,,,,,2.24E-04,4.99E+00
,,,2.25E-04,5.517332637,,,,,2.25E-04,4.96E+00
,,,2.26E-04,5.250806179,,,,,2.26E-04,5.08E+00
,,,2.27E-04,5.49178874,,,,,2.27E-04,5.02E+00
,,,2.28E-04,5.538131378,,,,,2.28E-04,5.19E+00
,,,2.29E-04,5.383433565,,,,,2.29E-04,5.12E+00
,,,2.30E-04,5.592217283,,,,,2.30E-04,5.14E+00
,,,2.31E-04,5.436416423,,,,,2.31E-04,5.15E+00
,,,2.32E-04,5.47669739,,,,,2.32E-04,5.13E+00
,,,2.33E-04,5.583158906,,,,,2.33E-04,5.06E+00
,,,2.34E-04,5.544921945,,,,,2.34E-04,5.24E+00
,,,2.35E-04,5.332910651,,,,,2.35E-04,5.09E+00
,,,2.36E-04,5.373158209,,,,,2.36E-04,4.92E+00
,,,2.37E-04,5.526754141,,,,,2.37E-04,5.07E+00
,,,2.38E-04,5.551193551,,,,,2.38E-04,5.00E+00
,,,2.39E-04,5.475181362,,,,,2.39E-04,5.10E+00
,,,2.40E-04,5.507686735,,,,,2.40E-04,5.03E+00
,,,2.41E-04,5.547120824,,,,,2.41E-04,4.99E+00
,,,2.42E-04,5.407588233,,,,,2.42E-04,5.07E+00
,,,2.43E-04,5.635675931,,,,,2.43E-04,5.15E+00
,,,2.44E-04,5.557625513,,,,,2.44E-04,5.19E+00
,,,2.45E-04,5.408413876,,,,,2.45E-04,4.86E+00
,,,2.46E-04,5.513616585,,,,,2.46E-04,5.02E+00
,,,2.47E-04,5.51534508,,,,,2.47E-04,4.97E+00
,,,2.48E-04,5.621212197,,,,,2.48E-04,5.06E+00
,,,2.49E-04,5.539100352,,,,,2.49E-04,4.84E+00
,,,2.50E-04,5.300880972,,,,,2.50E-04,5.11E+00
,,,2.51E-04,5.535543047,,,,,2.51E-04,4.91E+00
,,,2.52E-04,5.435403175,,,,,2.52E-04,5.03E+00
,,,2.53E-04,5.63170708,,,,,2.53E-04,5.04E+00
,,,2.54E-04,5.338014555,,,,,2.54E-04,4.82E+00
,,,2.55E-04,5.427974262,,,,,2.55E-04,4.84E+00
,,,2.56E-04,5.30371144,,,,,2.56E-04,4.70E+00
,,,2.57E-04,5.313220345,,,,,2.57E-04,4.81E+00
